Kode,nama_produk,product_type,is_rtl,is_main_output,is_by_product,is_packaging,n_input,n_output
100009,IND - B 18 FQ 95 CL BP Amroon,RAW_MATERIAL,False,False,False,False,1,0
100023,IND - B 65 Blade Black Gold,RAW_MATERIAL,False,False,False,False,1,0
100024,IND - B 65 Blade Amroon,RAW_MATERIAL,False,False,False,False,0,1
100030,IND - B 67 Cuberoll Amroon,RAW_MATERIAL,False,False,False,False,76,0
100033,IND - B 106 FQ 95 CL Roll Amroon,RAW_MATERIAL,False,False,False,False,1,0
100038,IND - B 31 Tenderloin Allana,RAW_MATERIAL,False,False,False,False,2,0
100042,IND - B 31 Tenderloin Amroon,RAW_MATERIAL,False,False,False,False,1,0
100044,IND - B 41 Topside Allana,RAW_MATERIAL,False,False,False,False,2,0
100047,IND - B 41 Topside Black Gold,RAW_MATERIAL,False,False,False,False,0,1
100050,IND - B 42 Knuckle Allana,RAW_MATERIAL,False,False,False,False,0,2
100056,IND - B 44 Outside Allana,RAW_MATERIAL,False,False,False,False,2,0
100061,IND - B 44 Outside Amroon,RAW_MATERIAL,False,False,False,False,4,0
100063,IND - B 45 Rump Amroon,RAW_MATERIAL,False,False,False,False,2,1
100069,IND - B 46 Striploin Amroon,RAW_MATERIAL,False,False,False,False,9,1
100095,Lips Swift 262,RAW_MATERIAL,False,False,False,False,1,0
100154,Brisketbone A ECT,RAW_MATERIAL,False,False,False,False,1,0
100187,Hati Teys,RAW_MATERIAL,False,False,False,False,1,0
100189,Hati Meramist,RAW_MATERIAL,False,False,False,False,31,0
100212,Lips Lockyer Valley,RAW_MATERIAL,False,False,False,False,0,1
100235,Shortrib A ECT,RAW_MATERIAL,False,False,False,False,8,0
100254,"Ayam Karkas 0,9 - 1,0 Kg",RAW_MATERIAL,False,False,False,False,2,0
100255,Ayam Boneless Dada,RAW_MATERIAL,False,False,False,False,42,2
100256,Ayam Boneless Paha,RAW_MATERIAL,False,False,False,False,60,1
100272,Cuberoll HGH,RAW_MATERIAL,False,False,False,False,2,13
100273,Striploin HGH,RAW_MATERIAL,False,False,False,False,2,10
